GivenName,Surname,Birthday,CountryFull,Kilograms,Centimeters,BloodType
Kondrat,Kapustin,11/3/1984,Cyprus (Anglicized),96.6,179,AB+
Bruno,Barros,12/3/1988,Czech Republic,107.7,180,O+
Rohan,McKenzie,8/6/1980,Czech Republic,81.1,188,O+
Jack,Walker,8/6/1994,Cyprus (Anglicized),53.1,171,A+
Bruno,Grubb,9/11/1984,Czech Republic,46.4,86,O-
Charles,Castaneda,5/31/1986,Belgium,78.7,187,B+
William,Jones,8/14/1984,Canada,73.7,179,O+
Edgar,Vasin,4/10/1988,Belgium,75.2,184,B+
Kenneth,Roberts,5/21/1990,Brazil,102.2,187,O+
Luke,Moore,3/4/1996,Austria,76.3,181,O+
Herugar,Goodchild,11/5/1981,Cyprus (Anglicized),60.7,69,B+
Lucas,Bocharov,5/14/1991,Austria,105.3,173,O+
Nicodemus,Isayev,2/29/1996,Denmark,97.8,173,B+
Jakub,Crawford,7/24/1987,Belgium,61.1,182,O+
Renan,Gomes,11/11/1981,Austria,112.1,174,A+
Adelard,Gamgee,7/18/1996,Cyprus (Anglicized),67.9,93,B+
Ignat,Vagin,6/19/1994,Canada,99.9,186,A+
Caio,Cavalcanti,1/24/1986,Austria,88.3,175,B+
Rudibert,Chubb-Baggins,12/19/1980,Belgium,58.8,111,A+
Sviatoslav,Bocharov,4/3/1988,Denmark,85.1,174,B+
Cauã,Dias,6/6/1995,Canada,81.1,172,O+
Ruaridh,Ritchie,6/26/1990,Cyprus (Anglicized),95.1,185,B+
Arthur,Andreyev,6/25/1992,Canada,59.7,189,O+
Hugh,McLean,7/23/1984,Cyprus (Anglicized),111.2,177,O-
Ismail,Yevseyev,3/20/1985,Canada,61.6,182,B+
Timur,Polyakov,8/11/1983,Brazil,99.3,179,B+
Spiridon,Uspensky,3/27/1982,Cyprus (Anglicized),104.2,168,A+
Crispus,Longhole,3/25/1980,Cyprus (Anglicized),61.1,89,O+
Vitor,Almeida,7/10/1992,Brazil,108.4,169,A+
Bandobras,Brownlock,2/9/1993,Brazil,63.7,71,B+
Douglas,Bui,4/30/1993,Cyprus (Anglicized),66.0,183,A+
Ronald,Hayes,9/20/1990,Denmark,84.8,168,O+
Timothy,Golubev,8/1/1996,Cyprus (Anglicized),51.8,168,A+
Rayyan,Duncan,7/24/1993,Canada,91.2,176,B+
Pedro,Souza,2/2/1988,Denmark,65.4,180,O+
Kristian,Milne,11/15/1985,Cyprus (Anglicized),101.9,190,B+
Sawa,Kovalyov,11/11/1980,Denmark,67.6,174,B+
Jared,Stewart,2/21/1983,Cyprus (Anglicized),94.6,170,A+
Clark,Ross,7/18/1983,Czech Republic,85.5,186,B+
Tiago,Rocha,10/28/1980,Czech Republic,103.4,187,O+
Leonardo,White,2/11/1981,Austria,68.0,182,A+
Luan,Lima,9/27/1987,Austria,80.2,181,O+
Forbes,Fleming,8/10/1993,Brazil,86.7,178,O+
Eduardo,Ribeiro,3/29/1991,Brazil,72.3,168,O+
Klim,Uspensky,11/8/1988,Brazil,90.9,182,O+
Terry,Barbosa,8/16/1981,Canada,83.4,168,A+
Oscar,Zakharov,10/31/1978,Canada,86.3,178,O+
Athanasius,Lavrentiev,7/27/1982,Cyprus (Anglicized),82.0,181,B-
Arthur,McGregor,7/15/1990,Brazil,84.5,169,AB+
Carlos,Carvalho,2/25/1993,Austria,61.9,177,A+
Vladlen,Mishin,10/31/1991,Cyprus (Anglicized),81.4,189,O+
Dmitry,Azarov,9/21/1989,Belgium,91.4,175,O+
Vinícius,Azevedo,3/18/1982,Canada,77.8,175,A+
Marco,Douglas,9/22/1980,Canada,66.2,186,A+
Luís,Carvalho,1/25/1980,Austria,85.1,171,O+
Jonathan,Padilla,11/17/1992,Belgium,56.7,174,B+
Muslim,Sokolov,3/5/1997,Canada,49.6,165,B+
Warren,Graham,8/23/1987,Cyprus (Anglicized),109.0,174,B+
Derek,Landes,8/22/1988,Czech Republic,73.9,169,O-
Luan,Silva,10/25/1995,Czech Republic,61.7,169,A-
Arseny,Lazarev,3/20/1989,Denmark,67.4,170,O-
Adelbert,Took-Brandybuck,1/2/1997,Denmark,67.9,88,A+
Luan,Araujo,5/16/1997,Canada,56.4,167,O+
Tolman,Burrows,11/3/1981,Cyprus (Anglicized),50.5,121,A+
Otávio,Lima,12/5/1995,Canada,80.2,175,O+
Alan,Hughes,12/26/1994,Denmark,87.9,190,O+
Aydin,Thompson,1/15/1997,Czech Republic,68.9,173,B+
Miguel,Alves,9/3/1988,Canada,106.3,178,O+
Posco,Galbassi,9/16/1990,Canada,55.1,117,B+
Ferumbras,Gammidge,3/15/1980,Austria,51.2,114,B+
Julian,Ulyanov,6/9/1979,Czech Republic,104.9,183,O-
Rice,Gorshkov,12/21/1991,Canada,94.4,178,A+
Vitor,Souza,3/24/1997,Czech Republic,74.0,187,A+
Kelvin,McIntosh,8/31/1981,Canada,62.6,172,O+
Elliot,Duncan,2/27/1981,Austria,71.1,172,A+
Isaiah,Belov,9/4/1995,Cyprus (Anglicized),80.1,178,O+
Alex,Lima,8/10/1985,Canada,90.9,179,O+
Merimac,Baggins,4/29/1987,Czech Republic,59.2,64,B+
Erick,Cunha,9/1/1980,Cyprus (Anglicized),73.4,176,O+
Ernest,Breeden,4/5/1997,Cyprus (Anglicized),74.7,177,B+
Mohamed,Kennedy,6/8/1983,Austria,95.4,186,O+
Antony,Watt,9/28/1981,Cyprus (Anglicized),107.3,174,B+
Elfstan,Gawkroger,1/16/1985,Canada,56.2,112,B+
Darren,Johnston,11/2/1995,Brazil,86.6,172,A+
Belisarius,Clayhanger,8/21/1978,Austria,51.8,61,A+
Marcus,McLean,8/14/1979,Austria,78.6,179,B+
Stepan,Volkov,12/12/1988,Czech Republic,79.7,184,B+
Marmaduc,Took-Brandybuck,12/21/1985,Czech Republic,65.3,113,O+
Leon,Smith,3/28/1986,Cyprus (Anglicized),111.4,188,AB+
Ricky,Madison,11/20/1989,Czech Republic,56.0,170,O+
Elliott,Wilson,4/20/1979,Cyprus (Anglicized),68.8,182,B+
Philip,Spencer,6/19/1994,Brazil,60.3,172,O+
Avdei,Ponomarev,9/1/1992,Belgium,78.2,177,AB+
Isaiah,Avdeyev,3/8/1979,Belgium,107.6,171,O+
Fraser,Munro,1/5/1991,Austria,76.5,177,O+
Obo,Noakes,2/14/1985,Denmark,66.7,105,O+
Alex,Almeida,12/28/1989,Cyprus (Anglicized),59.6,187,O+
Douglas,Goncalves,8/15/1996,Austria,54.0,176,A+
Grant,Muller,9/6/1985,Cyprus (Anglicized),76.7,182,A+
Blake,Duncan,2/5/1985,Belgium,100.3,178,A+
Wilibald,Gaukrogers,7/14/1992,Cyprus (Anglicized),45.2,76,O+
Andre,Zamora,10/8/1985,Czech Republic,107.5,172,O+
Fraser,Kelly,9/3/1979,Cyprus (Anglicized),73.7,182,A-
Gorbadoc,Goldworthy,8/12/1992,Canada,64.0,100,B+
Christopher,McCraw,12/24/1990,Czech Republic,92.1,182,O+
Gundolpho,Chubb-Baggins,8/29/1991,Austria,49.4,69,O-
Tiago,Azevedo,10/15/1991,Brazil,97.8,185,O+
Jayden,Shaw,10/5/1988,Czech Republic,109.3,179,A+
Miguel,Dias,6/8/1978,Cyprus (Anglicized),110.9,173,A+
Stanley,Griggs,9/11/1991,Cyprus (Anglicized),91.3,186,A+
Aedan,Martin,6/23/1978,Brazil,109.0,176,O+
Luke,Medvedev,7/3/1990,Brazil,90.7,178,O+
Kaua,Silva,4/27/1992,Belgium,108.4,183,O+
Samuel,Glazkov,2/4/1997,Belgium,69.7,164,O+
Armen,Bezrukov,9/22/1978,Cyprus (Anglicized),96.4,174,B+
Mitrofan,Demidov,9/6/1985,Czech Republic,83.0,179,O+
Fredegar,Gaukrogers,10/6/1991,Belgium,46.3,106,O+
Tommy,Johnstone,8/11/1989,Denmark,105.0,175,O-
Vitór,Sousa,4/2/1995,Canada,95.3,165,O+
Roman,Kharlamov,3/17/1987,Brazil,63.9,184,O+
Edward,Krok,1/1/1990,Belgium,98.6,170,A+
Cotman,Took-Took,7/18/1978,Czech Republic,55.7,117,O+
Júlio,Cardoso,6/1/1984,Canada,110.5,181,O+
Richard,Ransom,7/18/1982,Denmark,66.1,182,A-
Marmadoc,Burrowes,10/18/1978,Cyprus (Anglicized),45.3,116,A-
Chris,Brawley,2/21/1979,Cyprus (Anglicized),102.8,183,O+
Murilo,Silva,9/22/1994,Austria,66.0,174,O+
Michael,Reed,1/21/1986,Cyprus (Anglicized),101.9,173,O+
Isaiah,Espinosa,6/30/1996,Cyprus (Anglicized),63.4,183,O-
Alfred,Harris,4/14/1985,Denmark,66.9,183,A+
Arseny,Efimov,5/31/1991,Cyprus (Anglicized),78.6,181,O+
Gorbulas,Longhole,2/2/1985,Canada,47.9,88,A+
José,Cunha,6/16/1981,Belgium,88.4,174,O+
Miguel,Silva,5/2/1994,Cyprus (Anglicized),66.5,187,B+
Colby,Russell,1/25/1992,Cyprus (Anglicized),65.4,174,O-
Jaroslav,Evseyev,5/25/1996,Brazil,55.1,176,O+
Pimen,Evseyev,2/7/1987,Canada,111.2,187,B+
Paulo,Sousa,8/9/1988,Cyprus (Anglicized),67.4,188,A+
Novel,Zaitsev,1/7/1997,Cyprus (Anglicized),75.2,170,O+
Isaiah,Yefremov,4/28/1996,Canada,96.8,169,A+
Obo,Took-Took,5/3/1993,Cyprus (Anglicized),47.5,99,A+
Andwise,Greenhand,10/18/1996,Cyprus (Anglicized),45.8,64,A+
Nicephorus,Woronoff,8/16/1995,Brazil,55.0,170,A+
Samuel,Gomes,8/28/1995,Canada,77.5,171,O-
José,Silva,11/6/1993,Canada,98.0,178,O+
George,McGuire,2/7/1987,Austria,102.0,174,O+
Muhammed,Fleming,6/17/1990,Cyprus (Anglicized),89.5,190,B+
Jamal,Efremov,8/24/1989,Canada,57.0,188,B+
Rory,Williamson,2/23/1988,Belgium,107.9,178,O+
Kai,Cavalcanti,8/18/1986,Czech Republic,63.1,186,O+
Nob,Sandheaver,7/18/1978,Cyprus (Anglicized),66.2,71,B+
Oleg,Bazarov,3/17/1983,Cyprus (Anglicized),86.7,176,O+
Davi,Melo,11/12/1987,Cyprus (Anglicized),68.3,173,AB+
James,Bagby,11/25/1985,Austria,111.2,180,O+
Timothy,Ignatyev,8/14/1984,Canada,88.9,178,O+
Quinton,Lewis,9/8/1993,Cyprus (Anglicized),97.5,179,O+
Alastair,Cunningham,3/19/1991,Belgium,99.8,175,O+
Ravil,Anisimov,7/13/1986,Cyprus (Anglicized),84.1,176,A-
Jaroslav,Bazarov,9/19/1994,Denmark,80.6,177,B+
Mstislav,Golubev,12/3/1978,Belgium,112.7,187,O+
Estevan,Souza,6/19/1980,Cyprus (Anglicized),74.5,188,A+
Mateusz,Hughes,11/17/1993,Brazil,56.0,169,O+
Barry,Deslauriers,12/23/1982,Belgium,92.3,184,O+
Darrell,Jacobs,11/25/1988,Canada,75.9,190,O+
Danilo,Ribeiro,1/5/1989,Cyprus (Anglicized),103.4,178,O+
Kiran,Hay,12/29/1984,Belgium,87.3,185,O+
Royce,Meyer,5/10/1980,Cyprus (Anglicized),67.0,171,A+
Samson,Shubin,2/9/1989,Brazil,91.4,189,A-
Brett,Gonzalez,11/29/1987,Belgium,92.2,189,O+
Alfred,Reid,3/10/1991,Belgium,66.9,175,O+
George,White,5/14/1983,Cyprus (Anglicized),97.2,176,A-
Finley,Stevenson,1/11/1982,Belgium,103.6,184,A+
Mitrofan,Golovanov,4/26/1992,Cyprus (Anglicized),64.8,175,O+
Rinat,Izmailov,5/27/1983,Cyprus (Anglicized),62.1,190,A+
William,Bacote,1/24/1994,Cyprus (Anglicized),83.9,172,A+
Kye,Douglas,1/24/1989,Canada,79.5,182,B+
Darren,Russell,7/15/1992,Denmark,82.2,177,B+
Danny,Sinclair,7/24/1981,Cyprus (Anglicized),73.8,174,AB+
Kerr,Graham,5/21/1987,Canada,67.5,186,B+
Gruffo,Greenhand,5/11/1990,Austria,62.3,62,B+
André,Pinto,10/14/1986,Brazil,62.7,187,B+
Leonard,Gray,3/28/1987,Cyprus (Anglicized),96.0,168,A+
Nicanor,Vinogradov,2/16/1990,Brazil,102.8,172,O+
José,Cardoso,3/23/1993,Cyprus (Anglicized),98.5,177,B+
Kaden,MacDonald,1/14/1991,Czech Republic,102.4,187,O+
Nico,Johnston,4/2/1985,Czech Republic,103.1,188,O+
Rice,Volkov,5/26/1986,Canada,92.0,180,O+
Russell,Obrien,10/5/1991,Brazil,97.9,184,B+
Damian,Vagin,11/15/1981,Cyprus (Anglicized),98.9,189,A+
Ignat,Balashov,8/6/1983,Brazil,108.3,185,AB+
Immanuel,Kalinin,9/13/1989,Cyprus (Anglicized),90.0,187,A-
Marat,Yusupov,9/13/1996,Canada,56.7,177,O+
Richard,Anderson,11/4/1994,Belgium,84.8,185,B+
Marvin,Bell,12/2/1988,Brazil,76.6,182,O-
Luiz,Fernandes,1/6/1989,Brazil,94.9,186,B+
Julian,Araujo,3/9/1986,Belgium,67.8,181,O+
Daniel,Avdeyev,8/30/1981,Belgium,113.4,172,O+
Taras,Maslow,1/4/1988,Denmark,64.5,184,A+
Fletcher,Wright,6/21/1978,Czech Republic,100.8,176,O+
Guilherme,Araujo,9/18/1993,Canada,86.0,172,A+
Marmaduke,Gawkroger,12/10/1979,Austria,45.8,62,B+
James,Montgomery,1/24/1986,Austria,82.6,178,O+
Mateus,Melo,11/8/1990,Belgium,78.6,186,B+
Danny,Blair,6/29/1992,Canada,88.2,183,A+
Matthew,Demott,5/1/1996,Belgium,90.2,189,B+
Troy,Campbell,10/13/1982,Austria,85.6,172,A+
Alexander,Kennedy,9/7/1987,Austria,99.0,190,A+
Vadim,Gorbunov,10/26/1984,Cyprus (Anglicized),101.4,180,A+
Ildar,Fomin,12/3/1988,Brazil,74.4,188,A+
Paramon,Golubov,6/27/1988,Canada,60.1,182,O+
Seraphim,Fokine,2/7/1995,Belgium,69.8,182,O+
Eoin,Murray,10/3/1996,Czech Republic,88.6,167,A+
Erick,Correia,7/21/1980,Belgium,86.6,184,A+
Alex,Martins,6/17/1996,Czech Republic,83.2,168,B+
Wendell,Pettway,8/26/1979,Canada,66.1,171,O+
Rostislav,Zuyev,5/28/1983,Belgium,65.8,174,B+
Gringamor,Chubb,11/23/1989,Belgium,49.3,84,O+
Blasius,Maslow,6/18/1985,Austria,67.5,180,B+
Magnus,Proudfoot,10/15/1989,Brazil,48.9,88,O+
Angel,McGuire,5/10/1980,Canada,78.8,179,B+
Bladud,Goldworthy,8/8/1981,Austria,50.7,72,O+
Benjamin,Estevez,7/19/1981,Austria,63.2,176,O+
Calvin,Johnston,7/9/1986,Cyprus (Anglicized),86.4,178,O+
Sean,Bradley,9/22/1991,Canada,63.4,182,A+
Thomas,Abramovich,12/26/1978,Belgium,89.6,177,O+
Jeffry,Adams,2/4/1993,Brazil,109.1,168,A+
Gormadoc,Tûk,2/7/1982,Belgium,45.5,121,B+
Scott,Martin,3/31/1991,Brazil,82.1,181,A+
Cottar,Galbassi,2/14/1993,Brazil,60.7,61,A+
João,Silva,6/14/1991,Cyprus (Anglicized),67.7,168,B-
Miguel,Sousa,11/8/1982,Denmark,75.3,170,A+
Erick,Collins,1/20/1980,Belgium,62.3,172,B+
Daniel,Wadley,2/17/1983,Czech Republic,93.1,178,O+
Tolman,Smallburrow,12/15/1990,Brazil,50.4,70,B-
Ellis,Duncan,7/9/1992,Brazil,62.2,187,O+
Roman,Bogdanov,4/17/1989,Czech Republic,61.4,187,B-
Harry,Scruggs,2/16/1989,Austria,109.8,175,A-
Leo,Evseev,7/5/1986,Denmark,105.8,178,O+
Miroslav,Evseev,3/11/1994,Austria,70.4,168,A-
Samwise,Gardner,4/15/1982,Brazil,55.9,67,AB+
Andrew,Huston,12/23/1984,Czech Republic,77.6,173,B-
Manuel,Marsala,9/13/1983,Denmark,61.8,169,O+
Sonny,McKay,1/19/1988,Brazil,68.7,186,O+
Aaron,Colburn,7/5/1981,Czech Republic,109.2,175,O+
Curtis,Southern,1/25/1996,Canada,69.7,177,A+
Priamus,Clayhanger,2/16/1983,Brazil,60.9,82,A+
Devin,Liddell,1/4/1994,Cyprus (Anglicized),80.0,181,B+
Uffo,Brown,3/25/1990,Cyprus (Anglicized),59.4,83,O+
Vitor,Pereira,1/3/1997,Cyprus (Anglicized),92.8,168,O+
Carlos,Melo,10/9/1981,Brazil,82.1,185,O+
Robert,Gainey,10/14/1987,Czech Republic,91.2,181,A+
Zac,McMillan,10/13/1980,Cyprus (Anglicized),69.9,168,O-
Richard,Franklin,1/12/1992,Austria,59.7,185,B+
Johnny,Donaldson,12/7/1984,Cyprus (Anglicized),79.5,181,AB+
Aran,Thomson,12/19/1982,Brazil,94.8,182,O+
Nahum,Fokine,10/2/1978,Canada,113.1,171,O+
Adelgrim,Grubb,2/5/1994,Czech Republic,62.6,113,B-
Ruslan,Voronoff,5/3/1993,Cyprus (Anglicized),71.3,177,AB+
Arthur,Degtyaryov,9/20/1984,Cyprus (Anglicized),83.3,177,O+
Renan,Araujo,9/17/1984,Czech Republic,102.0,168,O+
Hobson,Hogpen,5/16/1985,Canada,47.6,111,A+
Jose,Juarez,10/4/1985,Canada,90.8,183,A+
David,Marshall,5/25/1985,Czech Republic,69.9,182,B+
Lucas,Ferreira,12/28/1983,Cyprus (Anglicized),84.8,178,O-
Breno,Melo,5/30/1993,Cyprus (Anglicized),104.9,188,O+
Matthew,Terry,12/31/1990,Denmark,102.9,174,O+
Fulvus,Brandybuck,6/12/1984,Denmark,48.2,61,A+
Ruslan,Kozlov,8/11/1990,Cyprus (Anglicized),77.4,190,O+
Ivan,Butusov,11/8/1992,Cyprus (Anglicized),70.0,173,B+
Adam,Nevzorov,12/10/1982,Cyprus (Anglicized),83.6,185,A+
Felix,Anderson,6/15/1984,Czech Republic,110.8,187,B+
Harold,Mathews,6/12/1993,Denmark,91.6,168,A+
Artem,Alexandrov,2/15/1992,Belgium,75.9,174,O+
Gary,Salter,10/1/1988,Denmark,106.3,188,A+
Edward,Averyanov,6/22/1979,Czech Republic,87.1,170,A+
Gundabald,Labingi,3/30/1983,Cyprus (Anglicized),59.9,108,O+
Togo,Baggins,8/22/1979,Czech Republic,56.8,121,A+
Kauan,Ribeiro,6/29/1986,Cyprus (Anglicized),81.5,178,O-
Bildad,Mugwort,6/2/1985,Canada,46.8,70,B+
Roman,Fleming,6/30/1995,Cyprus (Anglicized),86.5,167,A+
Blanco,Maggot,11/27/1982,Cyprus (Anglicized),66.2,79,B+
Plato,Bykov,6/12/1987,Czech Republic,69.6,173,O+
Prokhor,Lavrentiev,10/1/1990,Austria,68.0,176,B+
Jacob,Voronkov,11/16/1987,Denmark,70.6,188,AB+
Murilo,Fernandes,4/2/1992,Canada,78.0,168,B+
Alex,Hill,7/16/1987,Czech Republic,79.9,180,O+
Leo,Smith,7/11/1984,Czech Republic,64.3,177,O+
Vitor,Oliveira,5/25/1996,Austria,86.5,183,O+
Lawrence,Baxter,11/11/1992,Austria,107.1,186,B+
Jack,Cain,5/14/1994,Czech Republic,76.3,164,B+
Yaroslav,Yegorov,1/16/1996,Canada,74.4,164,B+
Leo,Kovalyov,10/14/1994,Brazil,65.3,170,O+
Habaccuc,Bracegirdle,10/31/1991,Czech Republic,45.7,70,AB+
Ravil,Boholyubov,9/8/1994,Czech Republic,79.8,178,O+
Prokhor,Tretyakov,6/14/1980,Belgium,111.1,190,B+
Constantine,Zhdanov,11/16/1978,Austria,73.3,188,A-
Tim,Parker,4/23/1994,Cyprus (Anglicized),82.5,178,AB+
James,Sanders,9/19/1988,Czech Republic,99.7,172,B+
Jaroslav,Ibrahimov,10/22/1984,Denmark,80.3,168,O+
Carambo,Chubb-Baggins,5/28/1984,Denmark,52.5,96,A+
Bildad,Brownlock,8/21/1991,Belgium,65.1,116,AB+
Archie,Watson,4/20/1988,Czech Republic,84.6,187,A-
Doderic,Bolger-Baggins,10/30/1995,Cyprus (Anglicized),53.8,61,A+
Artem,Muravyov,10/25/1993,Cyprus (Anglicized),77.7,177,AB+
Victor,Baryshnikov,3/3/1993,Canada,77.4,169,O+
Pedro,Barros,8/24/1996,Canada,76.4,178,A+
Adelard,Burrows,9/17/1985,Brazil,51.6,107,A+
Charlie,Simpson,4/3/1993,Canada,85.7,190,O+
Jaromir,Ponomarev,11/7/1978,Canada,67.5,168,A+
Prospero,Noakes,1/17/1983,Czech Republic,51.5,67,A+
Patryk,Young,6/15/1995,Belgium,96.8,179,O+
Odo,Hornblower,9/18/1984,Austria,47.2,70,A+
Nazar,Demidov,4/11/1989,Austria,61.5,186,A-
Kauã,Carvalho,2/14/1980,Belgium,91.6,173,O+
Seraphim,Boholyubov,7/12/1989,Austria,64.5,172,B+
Lynn,Steinbeck,4/20/1990,Czech Republic,62.5,189,O+
Estevan,Ribeiro,12/29/1995,Canada,57.8,175,A+
Colby,Walker,1/14/1990,Czech Republic,72.9,186,O+
James,Carr,9/3/1981,Canada,71.3,190,B+
Boris,Voronoff,11/30/1984,Canada,100.4,181,B+
Cody,Fleming,7/31/1983,Austria,81.6,188,A+
André,Fernandes,10/9/1990,Denmark,87.4,179,B+
Vinicius,Ribeiro,7/6/1988,Cyprus (Anglicized),99.3,187,O+
Posco,Banks,9/6/1985,Brazil,66.5,62,O+
Arseny,Vinogradov,4/20/1990,Brazil,65.5,171,O+
Basso,Proudfoot,7/11/1980,Denmark,48.3,90,O+
Ephraim,Vagin,10/18/1994,Denmark,60.9,170,O+
Seth,Shaw,12/22/1984,Belgium,62.8,181,O+
John,Torres,5/4/1979,Cyprus (Anglicized),96.5,179,B+
Thiago,Pinto,4/27/1988,Denmark,100.1,175,A+
Aydin,Watt,12/7/1985,Brazil,95.3,169,B+
Tomás,Ferreira,1/13/1990,Belgium,79.1,182,AB+
Theobald,Button,7/28/1990,Cyprus (Anglicized),58.0,87,O+
Nikon,Alexeeva,10/6/1981,Cyprus (Anglicized),66.0,172,O+
William,Owens,3/12/1980,Brazil,94.2,180,A+
Lazarus,Kudryashov,2/22/1997,Austria,52.6,172,B+
Thiago,Sousa,4/15/1987,Canada,75.8,170,O+
Miroslav,Fyodorov,9/1/1978,Brazil,75.2,169,O+
Patryk,Wilson,11/20/1996,Cyprus (Anglicized),80.9,161,B+
Richard,Duncan,1/20/1983,Czech Republic,75.5,173,B+
Ferdinand,Longhole,8/22/1978,Brazil,55.3,100,O-
Diego,Correia,9/3/1984,Canada,94.7,177,O+
Gustavo,Ferreira,5/6/1994,Brazil,73.3,164,A+
Michael,Cook,10/23/1993,Canada,74.0,185,AB-
William,Frantz,9/3/1988,Cyprus (Anglicized),56.9,169,A+
David,Baranov,5/8/1992,Cyprus (Anglicized),56.8,175,B+
Otho,Longhole,2/13/1985,Czech Republic,66.6,84,B+
Musa,Findlay,12/25/1981,Austria,77.2,175,O-
Shawn,Grayson,4/21/1979,Canada,91.4,173,B+
Ivan,Shaw,12/13/1994,Austria,77.3,169,B+
Miguel,Barros,4/21/1979,Brazil,75.7,187,B+
Simon,Moore,6/5/1995,Canada,96.3,163,B+
Plato,Yevseyev,1/21/1995,Canada,99.6,187,A+
Orlando,Bolger,4/2/1997,Austria,58.7,78,O+
Jacob,Huber,6/7/1980,Belgium,77.1,172,O+
Júlio,Pereira,10/11/1989,Czech Republic,64.4,190,O+
Hending,Gamgee,7/2/1992,Cyprus (Anglicized),45.1,79,O-
Gorbaduc,Fairbairn,3/30/1997,Austria,51.6,63,A+
Anas,Campbell,12/5/1992,Cyprus (Anglicized),96.1,168,B+
Elijah,Muir,4/26/1985,Brazil,61.1,184,O+
Martim,Almeida,9/18/1980,Cyprus (Anglicized),66.1,180,A+
Valentine,Isayev,5/16/1989,Canada,99.3,186,B+
Donald,Christiansen,7/9/1983,Cyprus (Anglicized),108.5,183,O+
Kai,Goncalves,11/30/1980,Austria,90.1,170,B+
Rashid,Anisimov,7/4/1991,Austria,69.1,173,A+
Fastred,Fairbairn,7/5/1988,Czech Republic,54.4,103,B+
Hamza,Simpson,6/22/1988,Canada,66.5,188,A+
Caelan,Cunningham,10/12/1988,Cyprus (Anglicized),86.4,189,B+
Miguel,Varner,2/8/1982,Canada,95.1,172,B+
Goodwill,Brownlock,10/3/1994,Belgium,54.1,94,B+
Russell,Nunn,8/23/1991,Denmark,59.4,188,A-
Michael,Rickard,5/14/1984,Cyprus (Anglicized),106.4,178,A+
Yuri,Kolesnikov,2/28/1994,Cyprus (Anglicized),86.4,176,B+
Murilo,Cardoso,11/16/1986,Belgium,104.6,176,O+
Robert,Kelso,12/8/1987,Cyprus (Anglicized),94.6,172,A+
Tiago,Barbosa,6/22/1979,Austria,86.7,170,B+
Kane,Wallace,7/21/1992,Brazil,68.3,169,B+
Hamish,Morrison,1/25/1990,Canada,88.7,184,AB+
Vsevolod,Sozonov,5/19/1987,Denmark,61.3,189,B+
David,Roberts,7/28/1994,Canada,72.6,171,O+
Boris,Ponomaryov,11/12/1983,Cyprus (Anglicized),74.4,176,O-
Luís,Alves,5/21/1983,Denmark,68.0,180,O+
Vitor,Almeida,6/2/1985,Belgium,106.5,176,A-
Caio,Lima,9/8/1978,Cyprus (Anglicized),73.4,175,B-
Joseph,Chang,5/25/1989,Cyprus (Anglicized),60.2,167,O+
Herman,Hudson,11/5/1987,Canada,89.6,177,AB+
Richard,Smith,6/2/1995,Denmark,72.5,183,O+
Diogo,Ribeiro,2/21/1988,Canada,86.1,187,O+
Diego,Almeida,6/29/1986,Cyprus (Anglicized),92.2,189,B+
Nahum,Frolov,5/10/1993,Canada,57.6,168,A+
Luiz,Martins,8/19/1992,Czech Republic,99.1,181,O+
Gorbaduc,Brown,5/21/1989,Cyprus (Anglicized),62.3,71,O+
Walter,Butler,9/6/1989,Denmark,59.3,170,A+
Kenneth,Pursley,1/25/1980,Denmark,80.6,185,O+
Keith,Mullins,10/5/1993,Czech Republic,61.4,176,B+
Jason,Rogers,9/6/1981,Austria,64.7,169,B+
Lyle,Seltzer,3/24/1989,Cyprus (Anglicized),80.2,168,B+
Davi,Alves,4/15/1979,Cyprus (Anglicized),63.7,175,A+
André,Martins,2/4/1996,Cyprus (Anglicized),57.4,184,O+
Paul,Hay,12/12/1993,Belgium,93.6,175,O-
Mike,Kent,9/15/1996,Denmark,57.6,169,O+
Ferumbras,Zaragamba,11/10/1990,Cyprus (Anglicized),56.0,115,A+
Hob,Tûk,6/19/1980,Austria,51.6,121,O+
Kauã,Sousa,2/27/1993,Canada,68.7,176,A+
Sancho,Hogpen,12/31/1994,Denmark,62.8,95,O+
Kauê,Fernandes,5/29/1980,Austria,92.1,184,O+
Douglas,Ferreira,7/9/1988,Cyprus (Anglicized),105.5,172,A+
Pedro,Carvalho,7/16/1979,Brazil,72.2,190,A+
Porro,Headstrong,10/27/1979,Belgium,48.0,114,B+
Jaden,Johnston,4/2/1989,Cyprus (Anglicized),108.5,185,B+
Damian,Glazkov,12/24/1979,Czech Republic,109.3,190,A+
Kaua,Santos,11/17/1980,Belgium,94.5,189,B+
Ismail,Vinogradov,12/4/1983,Cyprus (Anglicized),68.5,185,AB+
Michael,Taul,1/30/1990,Denmark,89.7,180,O+
Vitór,Correia,6/13/1980,Austria,66.7,182,A-
Dexter,Hill,10/9/1993,Austria,66.3,185,O+
José,Correia,9/5/1995,Denmark,92.7,189,O+
Dorofei,Loginov,6/25/1991,Cyprus (Anglicized),77.2,180,B+
Renan,Melo,6/21/1994,Czech Republic,70.0,190,AB+
Francis,Brown,12/14/1987,Denmark,101.7,185,B+
Matthew,Watson,9/6/1991,Canada,107.6,190,O+
Felipe,Gomes,7/8/1995,Czech Republic,61.8,187,O+
Emil,Yermolayev,5/7/1979,Cyprus (Anglicized),71.3,179,O+
